task_id,system,scenario,task_family,failure_type,success,tool_calls,repair_actions,repair_triggered,user_turns,total_steps,reuse_pass_index,reused_artifact,second_run_improvement,stop_reason,trace_path
task_success_001,a0_baseline,success,t0_general,none,True,2,0,0,0,2,0,False,0.0,success_criteria_satisfied,/Users/cherry/Documents/ToolClaw/outputs/ablation/matrix/traces/001_task_success_001_a0_baseline.json
task_success_001,a1_recovery,success,t0_general,none,True,2,0,0,0,2,0,False,0.0,success_criteria_satisfied,/Users/cherry/Documents/ToolClaw/outputs/ablation/matrix/traces/001_task_success_001_a1_recovery.json
task_success_001,a2_planner,success,t0_general,none,True,2,0,0,0,2,0,False,0.0,success_criteria_satisfied,/Users/cherry/Documents/ToolClaw/outputs/ablation/matrix/traces/001_task_success_001_a2_planner.json
task_success_001,a3_interaction,success,t0_general,none,True,2,0,0,0,2,0,False,0.0,success_criteria_satisfied,/Users/cherry/Documents/ToolClaw/outputs/ablation/matrix/traces/001_task_success_001_a3_interaction.json
task_success_001,a4_reuse,success,t0_general,none,True,2,0,0,0,2,0,False,0.0,success_criteria_satisfied,/Users/cherry/Documents/ToolClaw/outputs/ablation/matrix/traces/001_task_success_001_a4_reuse.json
task_binding_001,a0_baseline,binding_failure,t1_static_recovery,binding_failure,False,2,0,0,0,2,0,False,0.0,step_failed:step_02:missing required field: target_path,/Users/cherry/Documents/ToolClaw/outputs/ablation/matrix/traces/002_task_binding_001_a0_baseline.json
task_binding_001,a1_recovery,binding_failure,t1_static_recovery,binding_failure,True,2,1,1,0,2,0,False,0.0,success_criteria_satisfied,/Users/cherry/Documents/ToolClaw/outputs/ablation/matrix/traces/002_task_binding_001_a1_recovery.json
task_binding_001,a2_planner,binding_failure,t1_static_recovery,binding_failure,True,2,1,1,0,2,0,False,0.0,success_criteria_satisfied,/Users/cherry/Documents/ToolClaw/outputs/ablation/matrix/traces/002_task_binding_001_a2_planner.json
task_binding_001,a3_interaction,binding_failure,t1_static_recovery,binding_failure,True,2,1,1,0,2,0,False,0.0,success_criteria_satisfied,/Users/cherry/Documents/ToolClaw/outputs/ablation/matrix/traces/002_task_binding_001_a3_interaction.json
task_binding_001,a4_reuse,binding_failure,t1_static_recovery,binding_failure,True,2,0,0,0,2,0,True,0.0,success_criteria_satisfied,/Users/cherry/Documents/ToolClaw/outputs/ablation/matrix/traces/002_task_binding_001_a4_reuse.json
task_env_001,a0_baseline,environment_failure,t1_static_recovery,environment_failure,False,2,0,0,0,2,0,False,0.0,step_failed:step_02:environment unavailable for write operation,/Users/cherry/Documents/ToolClaw/outputs/ablation/matrix/traces/003_task_env_001_a0_baseline.json
task_env_001,a1_recovery,environment_failure,t1_static_recovery,environment_failure,True,2,1,1,0,2,0,False,0.0,success_criteria_satisfied,/Users/cherry/Documents/ToolClaw/outputs/ablation/matrix/traces/003_task_env_001_a1_recovery.json
task_env_001,a2_planner,environment_failure,t1_static_recovery,environment_failure,True,2,1,1,0,2,0,False,0.0,success_criteria_satisfied,/Users/cherry/Documents/ToolClaw/outputs/ablation/matrix/traces/003_task_env_001_a2_planner.json
task_env_001,a3_interaction,environment_failure,t1_static_recovery,environment_failure,True,2,1,1,0,2,0,False,0.0,success_criteria_satisfied,/Users/cherry/Documents/ToolClaw/outputs/ablation/matrix/traces/003_task_env_001_a3_interaction.json
task_env_001,a4_reuse,environment_failure,t1_static_recovery,environment_failure,True,2,1,1,0,2,0,True,0.0,success_criteria_satisfied,/Users/cherry/Documents/ToolClaw/outputs/ablation/matrix/traces/003_task_env_001_a4_reuse.json
