run_index,task_id,system,scenario,task_family,failure_type,primary_failtax,failtaxes,failure_step,expected_recovery_path,gold_tool,chosen_tool,state_slots,dependency_edges,success,tool_calls,repair_actions,repair_triggered,user_turns,total_steps,token_cost,wall_clock_ms,observed_error_type,first_failure_recovered,repair_extra_tool_calls,repair_extra_user_turns,repair_user_clarification,clarification_precision,clarification_recall,unnecessary_question_rate,patch_success_rate,post_answer_retry_count,safe_abort,policy_compliance_success,state_repair_success,reuse_pass_index,reused_artifact,second_run_improvement,budget_violation,budget_violation_reason,recovery_budget_used,stop_reason,trace_path
1,tau2_binding_plus_approval_001,a3_interaction,binding_failure,t3_must_interact,binding_failure,selection,"[""selection""]",step_02,ask_approval_then_retry,write_tool,write_tool,"[""query"", ""target_path"", ""approved""]","[{""source"": ""step_01"", ""target"": ""step_02"", ""type"": ""state""}, {""source"": ""policy"", ""target"": ""step_02"", ""type"": ""approval""}]",False,2,0,2,1,2,0.0,0,binding_failure,False,1,0,False,1.0,1.0,0.0,1.0,0,False,False,False,0,False,0.0,True,max_user_turns_exceeded,0.0,max_user_turns_exceeded,/cephfs/qiuyn/ToolClaw/outputs/paper_clean_v1/exp08_tau2_binding_plus_approval_a3_a4_r10_openrouter/runs/run_01/traces/001_tau2_binding_plus_approval_001_a3_interaction.json
1,tau2_binding_plus_approval_001,a4_reuse,binding_failure,t3_must_interact,binding_failure,selection,"[""selection""]",step_02,ask_approval_then_retry,write_tool,write_tool,"[""query"", ""target_path"", ""approved""]","[{""source"": ""step_01"", ""target"": ""step_02"", ""type"": ""state""}, {""source"": ""policy"", ""target"": ""step_02"", ""type"": ""approval""}]",False,2,0,2,1,2,0.0,0,binding_failure,False,1,0,False,1.0,1.0,0.0,1.0,0,False,False,False,0,False,0.0,True,max_user_turns_exceeded,0.0,max_user_turns_exceeded,/cephfs/qiuyn/ToolClaw/outputs/paper_clean_v1/exp08_tau2_binding_plus_approval_a3_a4_r10_openrouter/runs/run_01/traces/001_tau2_binding_plus_approval_001_a4_reuse.json
2,tau2_binding_plus_approval_001,a3_interaction,binding_failure,t3_must_interact,binding_failure,selection,"[""selection""]",step_02,ask_approval_then_retry,write_tool,write_tool,"[""query"", ""target_path"", ""approved""]","[{""source"": ""step_01"", ""target"": ""step_02"", ""type"": ""state""}, {""source"": ""policy"", ""target"": ""step_02"", ""type"": ""approval""}]",False,2,0,2,1,2,0.0,0,binding_failure,False,1,0,False,1.0,1.0,0.0,1.0,0,False,False,False,0,False,0.0,True,max_user_turns_exceeded,0.0,max_user_turns_exceeded,/cephfs/qiuyn/ToolClaw/outputs/paper_clean_v1/exp08_tau2_binding_plus_approval_a3_a4_r10_openrouter/runs/run_02/traces/001_tau2_binding_plus_approval_001_a3_interaction.json
2,tau2_binding_plus_approval_001,a4_reuse,binding_failure,t3_must_interact,binding_failure,selection,"[""selection""]",step_02,ask_approval_then_retry,write_tool,write_tool,"[""query"", ""target_path"", ""approved""]","[{""source"": ""step_01"", ""target"": ""step_02"", ""type"": ""state""}, {""source"": ""policy"", ""target"": ""step_02"", ""type"": ""approval""}]",False,2,0,2,1,2,0.0,0,binding_failure,False,1,0,False,1.0,1.0,0.0,1.0,0,False,False,False,0,False,0.0,True,max_user_turns_exceeded,0.0,max_user_turns_exceeded,/cephfs/qiuyn/ToolClaw/outputs/paper_clean_v1/exp08_tau2_binding_plus_approval_a3_a4_r10_openrouter/runs/run_02/traces/001_tau2_binding_plus_approval_001_a4_reuse.json
3,tau2_binding_plus_approval_001,a3_interaction,binding_failure,t3_must_interact,binding_failure,selection,"[""selection""]",step_02,ask_approval_then_retry,write_tool,write_tool,"[""query"", ""target_path"", ""approved""]","[{""source"": ""step_01"", ""target"": ""step_02"", ""type"": ""state""}, {""source"": ""policy"", ""target"": ""step_02"", ""type"": ""approval""}]",False,2,0,2,1,2,0.0,0,binding_failure,False,1,0,False,1.0,1.0,0.0,1.0,0,False,False,False,0,False,0.0,True,max_user_turns_exceeded,0.0,max_user_turns_exceeded,/cephfs/qiuyn/ToolClaw/outputs/paper_clean_v1/exp08_tau2_binding_plus_approval_a3_a4_r10_openrouter/runs/run_03/traces/001_tau2_binding_plus_approval_001_a3_interaction.json
3,tau2_binding_plus_approval_001,a4_reuse,binding_failure,t3_must_interact,binding_failure,selection,"[""selection""]",step_02,ask_approval_then_retry,write_tool,write_tool,"[""query"", ""target_path"", ""approved""]","[{""source"": ""step_01"", ""target"": ""step_02"", ""type"": ""state""}, {""source"": ""policy"", ""target"": ""step_02"", ""type"": ""approval""}]",False,2,0,2,1,2,0.0,0,binding_failure,False,1,0,False,1.0,1.0,0.0,1.0,0,False,False,False,0,False,0.0,True,max_user_turns_exceeded,0.0,max_user_turns_exceeded,/cephfs/qiuyn/ToolClaw/outputs/paper_clean_v1/exp08_tau2_binding_plus_approval_a3_a4_r10_openrouter/runs/run_03/traces/001_tau2_binding_plus_approval_001_a4_reuse.json
4,tau2_binding_plus_approval_001,a3_interaction,binding_failure,t3_must_interact,binding_failure,selection,"[""selection""]",step_02,ask_approval_then_retry,write_tool,write_tool,"[""query"", ""target_path"", ""approved""]","[{""source"": ""step_01"", ""target"": ""step_02"", ""type"": ""state""}, {""source"": ""policy"", ""target"": ""step_02"", ""type"": ""approval""}]",False,2,0,2,1,2,0.0,0,binding_failure,False,1,0,False,1.0,1.0,0.0,1.0,0,False,False,False,0,False,0.0,True,max_user_turns_exceeded,0.0,max_user_turns_exceeded,/cephfs/qiuyn/ToolClaw/outputs/paper_clean_v1/exp08_tau2_binding_plus_approval_a3_a4_r10_openrouter/runs/run_04/traces/001_tau2_binding_plus_approval_001_a3_interaction.json
4,tau2_binding_plus_approval_001,a4_reuse,binding_failure,t3_must_interact,binding_failure,selection,"[""selection""]",step_02,ask_approval_then_retry,write_tool,write_tool,"[""query"", ""target_path"", ""approved""]","[{""source"": ""step_01"", ""target"": ""step_02"", ""type"": ""state""}, {""source"": ""policy"", ""target"": ""step_02"", ""type"": ""approval""}]",False,2,0,2,1,2,0.0,0,binding_failure,False,1,0,False,1.0,1.0,0.0,1.0,0,False,False,False,0,False,0.0,True,max_user_turns_exceeded,0.0,max_user_turns_exceeded,/cephfs/qiuyn/ToolClaw/outputs/paper_clean_v1/exp08_tau2_binding_plus_approval_a3_a4_r10_openrouter/runs/run_04/traces/001_tau2_binding_plus_approval_001_a4_reuse.json
5,tau2_binding_plus_approval_001,a3_interaction,binding_failure,t3_must_interact,binding_failure,selection,"[""selection""]",step_02,ask_approval_then_retry,write_tool,write_tool,"[""query"", ""target_path"", ""approved""]","[{""source"": ""step_01"", ""target"": ""step_02"", ""type"": ""state""}, {""source"": ""policy"", ""target"": ""step_02"", ""type"": ""approval""}]",False,2,0,2,1,2,0.0,0,binding_failure,False,1,0,False,1.0,1.0,0.0,1.0,0,False,False,False,0,False,0.0,True,max_user_turns_exceeded,0.0,max_user_turns_exceeded,/cephfs/qiuyn/ToolClaw/outputs/paper_clean_v1/exp08_tau2_binding_plus_approval_a3_a4_r10_openrouter/runs/run_05/traces/001_tau2_binding_plus_approval_001_a3_interaction.json
5,tau2_binding_plus_approval_001,a4_reuse,binding_failure,t3_must_interact,binding_failure,selection,"[""selection""]",step_02,ask_approval_then_retry,write_tool,write_tool,"[""query"", ""target_path"", ""approved""]","[{""source"": ""step_01"", ""target"": ""step_02"", ""type"": ""state""}, {""source"": ""policy"", ""target"": ""step_02"", ""type"": ""approval""}]",False,2,0,2,1,2,0.0,0,binding_failure,False,1,0,False,1.0,1.0,0.0,1.0,0,False,False,False,0,False,0.0,True,max_user_turns_exceeded,0.0,max_user_turns_exceeded,/cephfs/qiuyn/ToolClaw/outputs/paper_clean_v1/exp08_tau2_binding_plus_approval_a3_a4_r10_openrouter/runs/run_05/traces/001_tau2_binding_plus_approval_001_a4_reuse.json
