task_id,system,scenario,task_family,failure_type,success,tool_calls,repair_actions,repair_triggered,user_turns,total_steps,reuse_pass_index,reused_artifact,second_run_improvement,stop_reason,trace_path
toolsandbox_state_dep_001,a3_interaction,state_dependency,t2_dynamic_branching,state_dependency,True,2,0,0,0,2,0,False,0.0,success_criteria_satisfied,outputs/remote/toolsandbox_core_r3_persist_pass2/runs/run_02/traces/001_toolsandbox_state_dep_001_a3_interaction.json
toolsandbox_state_dep_001,a4_reuse,state_dependency,t2_dynamic_branching,state_dependency,True,2,0,0,0,2,0,True,0.0,success_criteria_satisfied,outputs/remote/toolsandbox_core_r3_persist_pass2/runs/run_02/traces/001_toolsandbox_state_dep_001_a4_reuse.json
toolsandbox_state_dep_002,a3_interaction,state_dependency,t2_dynamic_branching,state_dependency,True,2,0,0,0,2,0,False,0.0,success_criteria_satisfied,outputs/remote/toolsandbox_core_r3_persist_pass2/runs/run_02/traces/002_toolsandbox_state_dep_002_a3_interaction.json
toolsandbox_state_dep_002,a4_reuse,state_dependency,t2_dynamic_branching,state_dependency,True,2,0,0,0,2,0,True,0.0,success_criteria_satisfied,outputs/remote/toolsandbox_core_r3_persist_pass2/runs/run_02/traces/002_toolsandbox_state_dep_002_a4_reuse.json
toolsandbox_missing_info_001,a3_interaction,environment_failure,t1_static_recovery,environment_failure,True,3,0,1,1,2,0,False,0.0,success_criteria_satisfied,outputs/remote/toolsandbox_core_r3_persist_pass2/runs/run_02/traces/003_toolsandbox_missing_info_001_a3_interaction.json
toolsandbox_missing_info_001,a4_reuse,environment_failure,t1_static_recovery,environment_failure,True,3,0,1,1,2,0,True,0.0,success_criteria_satisfied,outputs/remote/toolsandbox_core_r3_persist_pass2/runs/run_02/traces/003_toolsandbox_missing_info_001_a4_reuse.json
toolsandbox_missing_info_002,a3_interaction,binding_failure,t1_static_recovery,binding_failure,True,2,1,1,0,2,0,False,0.0,success_criteria_satisfied,outputs/remote/toolsandbox_core_r3_persist_pass2/runs/run_02/traces/004_toolsandbox_missing_info_002_a3_interaction.json
toolsandbox_missing_info_002,a4_reuse,binding_failure,t1_static_recovery,binding_failure,True,2,0,0,0,2,0,True,0.0,success_criteria_satisfied,outputs/remote/toolsandbox_core_r3_persist_pass2/runs/run_02/traces/004_toolsandbox_missing_info_002_a4_reuse.json
toolsandbox_multi_turn_approval_001,a3_interaction,multiple_user_turn,t3_must_interact,multiple_user_turn,True,2,0,2,2,2,0,False,0.0,success_criteria_satisfied,outputs/remote/toolsandbox_core_r3_persist_pass2/runs/run_02/traces/005_toolsandbox_multi_turn_approval_001_a3_interaction.json
toolsandbox_multi_turn_approval_001,a4_reuse,multiple_user_turn,t3_must_interact,multiple_user_turn,True,2,0,2,2,2,0,True,0.0,success_criteria_satisfied,outputs/remote/toolsandbox_core_r3_persist_pass2/runs/run_02/traces/005_toolsandbox_multi_turn_approval_001_a4_reuse.json
toolsandbox_multi_turn_approval_002,a3_interaction,binding_failure,t1_static_recovery,binding_failure,True,2,1,3,2,2,0,False,0.0,success_criteria_satisfied,outputs/remote/toolsandbox_core_r3_persist_pass2/runs/run_02/traces/006_toolsandbox_multi_turn_approval_002_a3_interaction.json
