task_id,system,scenario,success,tool_calls,repair_actions,total_steps,stop_reason,trace_path
tau_retail_train_00001,baseline,success,True,2,0,2,success_criteria_satisfied,outputs/tau_bench_remote/runs/run_01/traces/001_tau_retail_train_00001_baseline.json
tau_retail_train_00001,toolclaw_lite,success,True,2,0,2,success_criteria_satisfied,outputs/tau_bench_remote/runs/run_01/traces/001_tau_retail_train_00001_toolclaw_lite.json
tau_retail_train_00002,baseline,success,True,2,0,2,success_criteria_satisfied,outputs/tau_bench_remote/runs/run_01/traces/002_tau_retail_train_00002_baseline.json
tau_retail_train_00002,toolclaw_lite,success,True,2,0,2,success_criteria_satisfied,outputs/tau_bench_remote/runs/run_01/traces/002_tau_retail_train_00002_toolclaw_lite.json
tau_retail_train_00003,baseline,success,True,2,0,2,success_criteria_satisfied,outputs/tau_bench_remote/runs/run_01/traces/003_tau_retail_train_00003_baseline.json
tau_retail_train_00003,toolclaw_lite,success,True,2,0,2,success_criteria_satisfied,outputs/tau_bench_remote/runs/run_01/traces/003_tau_retail_train_00003_toolclaw_lite.json
tau_retail_train_00004,baseline,success,True,2,0,2,success_criteria_satisfied,outputs/tau_bench_remote/runs/run_01/traces/004_tau_retail_train_00004_baseline.json
tau_retail_train_00004,toolclaw_lite,success,True,2,0,2,success_criteria_satisfied,outputs/tau_bench_remote/runs/run_01/traces/004_tau_retail_train_00004_toolclaw_lite.json
tau_retail_train_00005,baseline,success,True,2,0,2,success_criteria_satisfied,outputs/tau_bench_remote/runs/run_01/traces/005_tau_retail_train_00005_baseline.json
tau_retail_train_00005,toolclaw_lite,success,True,2,0,2,success_criteria_satisfied,outputs/tau_bench_remote/runs/run_01/traces/005_tau_retail_train_00005_toolclaw_lite.json
tau_retail_train_00006,baseline,success,True,2,0,2,success_criteria_satisfied,outputs/tau_bench_remote/runs/run_01/traces/006_tau_retail_train_00006_baseline.json
tau_retail_train_00006,toolclaw_lite,success,True,2,0,2,success_criteria_satisfied,outputs/tau_bench_remote/runs/run_01/traces/006_tau_retail_train_00006_toolclaw_lite.json
tau_retail_train_00007,baseline,success,True,2,0,2,success_criteria_satisfied,outputs/tau_bench_remote/runs/run_01/traces/007_tau_retail_train_00007_baseline.json
tau_retail_train_00007,toolclaw_lite,success,True,2,0,2,success_criteria_satisfied,outputs/tau_bench_remote/runs/run_01/traces/007_tau_retail_train_00007_toolclaw_lite.json
tau_retail_train_00008,baseline,success,True,2,0,2,success_criteria_satisfied,outputs/tau_bench_remote/runs/run_01/traces/008_tau_retail_train_00008_baseline.json
tau_retail_train_00008,toolclaw_lite,success,True,2,0,2,success_criteria_satisfied,outputs/tau_bench_remote/runs/run_01/traces/008_tau_retail_train_00008_toolclaw_lite.json
tau_retail_train_00009,baseline,success,True,2,0,2,success_criteria_satisfied,outputs/tau_bench_remote/runs/run_01/traces/009_tau_retail_train_00009_baseline.json
tau_retail_train_00009,toolclaw_lite,success,True,2,0,2,success_criteria_satisfied,outputs/tau_bench_remote/runs/run_01/traces/009_tau_retail_train_00009_toolclaw_lite.json
tau_retail_train_00010,baseline,success,True,2,0,2,success_criteria_satisfied,outputs/tau_bench_remote/runs/run_01/traces/010_tau_retail_train_00010_baseline.json
tau_retail_train_00010,toolclaw_lite,success,True,2,0,2,success_criteria_satisfied,outputs/tau_bench_remote/runs/run_01/traces/010_tau_retail_train_00010_toolclaw_lite.json
